Error%   Diff  Days Miles Receipts Expected  Actual
 14.4% -   270    6   924  1227.21  1871.76 1601.68
 14.4% -   251    5  1143  1217.72  1745.09 1493.96
 14.4% -   276    7  1109  2397.29  1917.57 1641.91
 14.4% -   213    8   544  1279.51  1483.77 1270.48
 14.4% -   234   11   437  1053.24  1630.47 1396.11
 14.4% -   176    1   992   958.87  1222.41 1046.85
 14.4% -   230    6   172  1977.78  1603.89 1373.73
 14.3% -   209    3   624  1160.92  1459.34 1249.98
 14.3% -   267   11   654  1516.42  1870.43 1603.02
 14.3% -   213    4   448  2055.97  1497.46 1283.99
 14.3% -   237    8   752  1519.78  1662.92 1425.90
 14.2% -   284   12  1003   983.23  1996.18 1712.25
 14.1% -   268    8   962  1929.63  1897.19 1629.17
 14.1% -   224    9   803   880.17  1589.75 1365.48
 14.1% -   234   11   332  1352.48  1663.39 1428.92
 14.1% -   230   10   532  1223.36  1631.49 1401.64
 14.1% +   175   12   452   816.56  1243.10 1417.94
 14.0% -   309   13  1167  1074.36  2197.33 1888.75
 14.0% -   225    7   577  1959.13  1603.60 1378.58
 14.0% +   258   12  1074  2407.71  1843.97 2102.45
 14.0% -   198    1  1166  1423.69  1412.13 1214.57
 14.0% -   255   11   558  1549.86  1823.47 1568.66
 13.9% -   275   14   545  1206.76  1977.89 1702.69
 13.9% -   264    6   884  1798.31  1897.87 1633.81
 13.9% -   247   13   137  1505.66  1777.72 1531.06
 13.8% -   250   11   527  1550.32  1806.06 1556.38
 13.8% +    95    7   194   202.49   686.23  780.92
 13.8% -   295   11  1126  1593.03  2143.74 1848.74
 13.7% -   195    3   560  1664.15  1419.48 1224.45
 13.7% -   231    5   828  1606.84  1690.82 1459.49
 13.7% -    59    3   177    18.73   430.86  372.02
 13.7% -   194    8     7  2075.60  1422.12 1227.96
 13.6% +   116    9    97   518.56   850.57  966.39
 13.6% -   265   12   765  1343.97  1953.03 1688.19
 13.6% +    85    5   116   478.10   624.04  708.63
 13.5% -   242   11   498  1578.39  1793.52 1551.80
 13.4% -   244    6   825  1692.73  1817.77 1573.82
 13.4% -   156    5   714   617.72  1164.20 1008.04
 13.4% -   130    3   289   853.79   969.85  839.94
 13.3% -   223    6   475  1800.71  1671.23 1448.21
 13.3% -   208    9   131  1990.00  1557.20 1349.45
 13.3% -   226    7  1071   841.11  1699.90 1474.36
 13.2% -   268   12  1070  1055.51  2030.76 1762.48
 13.1% -   164    3   842   865.37  1251.14 1086.84
 13.0% +   103    4   362   646.43   788.53  891.37
 13.0% +   156    9   989   378.12  1193.72 1349.25
 13.0% +   157   14   383    97.95  1203.93 1360.69
 13.0% -   201   12    96  1164.37  1553.21 1351.77
 13.0% -   235    5  1010  2054.21  1810.37 1575.64
 13.0% -   205   12   211  1048.29  1579.73 1375.02
 12.9% -   183    3   718  1158.02  1416.98 1233.65
 12.9% -    96    1   388   827.37   741.46  645.56
 12.9% -   228   12   466  1291.33  1770.37 1542.23
 12.9% -   239    7  1086  2319.81  1858.36 1619.25
 12.9% -   180    1  1113  1536.00  1403.60 1223.14
 12.8% -   217   14   127   988.40  1688.90 1472.25
 12.8% -   230    6   668  1922.45  1796.98 1567.38
 12.7% -   112    3   892   171.32   875.39  763.82
 12.6% -   216   10   895   937.46  1714.80 1498.96
 12.6% -   254   13   529  1767.79  2015.18 1761.55
 12.6% +   107    3   906   540.03   848.42  955.04
 12.5% -   206    5   778  2423.47  1643.96 1438.13
 12.4% -   179    4   180  2365.46  1443.02 1263.64
 12.4% -   211   14   113  1091.13  1703.02 1491.63
 12.4% +   143   11   398   723.39  1154.77 1298.05
 12.4% -    24    1   141    10.15   195.14  171.02
 12.4% -    67    2   543   103.37   544.12  476.88
 12.3% -   221   12   380  1526.79  1787.41 1566.70
 12.3% -   172    6   597   888.84  1395.65 1223.45
 12.3% -   206    9   497  1845.08  1674.09 1468.07
 12.2% -   190   13    11  1114.96  1555.48 1365.12
 12.2% +   171   13   889   232.72  1394.38 1564.90
 12.2% +   140    8  1166    99.47  1149.07 1289.55
 12.2% -   182   12    49  1118.38  1494.81 1313.02
 12.1% -   233    7  1176  2489.13  1921.16 1687.85
 12.1% -    86    1   344   813.85   707.88  622.02
 12.1% -   179    4   275  2359.64  1483.58 1304.64
 12.1% +   200   12   528  2476.41  1662.88 1863.30
 12.0% +    92    5   733    41.18   771.83  864.19
 12.0% +   155   14   174   815.30  1295.14 1450.12
 12.0% -   222    8  1064  1756.52  1857.04 1634.85
 12.0% -   182    3   760  2073.25  1522.45 1340.44
 11.9% -   103    3    98   871.46   866.05  762.57
 11.9% -   221   12   893   910.41  1862.13 1641.24
 11.7% -    23    1   140    22.71   199.68  176.22
 11.6% -   207   12   757   897.40  1780.07 1572.71
 11.5% -    73    1   264   758.27   636.19  563.20
 11.4% -   159    8   630   967.69  1388.05 1229.32
 11.4% -    18    1    76    13.74   158.35  140.26
 11.4% +    78    7   205   103.31   683.10  761.08
 11.3% +   110    6   659   322.10   972.58 1082.95
 11.3% +   117   10   223   745.89  1037.45 1154.82
 11.3% +   159   12  1065   203.20  1408.25 1567.00
 11.3% -   214   10   877  1711.12  1897.37 1683.74
 11.2% -   243   12  1189  1453.16  2162.13 1919.01
 11.2% -   206   14   269  1349.61  1832.34 1626.45
 11.2% -   128    7   803    12.75  1146.78 1018.63
 11.1% -   116    5   477   704.42  1045.96  930.13
 11.1% +    62    3    70   631.88   564.16  626.54
 11.0% +    86    3  1020   250.62   779.08  865.10
 11.0% -   159   11   176  1050.67  1444.13 1284.87
 10.9% -    40    3    93     1.42   364.51  324.65
 10.9% -    40    3    80    21.05   366.87  326.92
 10.9% -   176   12   333  1103.21  1618.13 1442.00
 10.9% -   162    8    52  2353.50  1485.05 1323.54
 10.8% -   187    9   896  1398.54  1727.10 1539.72
 10.8% -   162    6   840   870.82  1496.46 1334.45
 10.7% +   196   14   616  2374.41  1828.37 2024.28
 10.6% +    71    2   794   402.31   671.06  742.43
 10.6% -   160    4   932  1287.34  1513.28 1353.56
 10.5% -    92    5   351   407.74   883.11  790.72
 10.4% -   165    4   840  1375.42  1580.95 1415.83
 10.4% -   170   10   108  2181.67  1632.42 1462.02
 10.4% +   124    8  1090   419.76  1189.47 1313.14
 10.4% -   158    3   779  2110.90  1520.73 1362.74
 10.4% -   199   11   708  1871.77  1916.37 1717.78
 10.3% -   115    6    84   852.70  1109.32  994.53
 10.3% -   166    4  1047  1657.68  1605.84 1439.86
 10.3% -   191    8  1118  1758.52  1852.47 1661.27
 10.3% -   126    7   901   136.80  1222.60 1096.68
 10.3% +   143   12  1077    32.55  1387.43 1530.10
 10.2% -   196   13   511  1628.33  1915.79 1719.48
 10.2% -   193   10   834  1820.80  1883.49 1690.52
 10.2% +   123    9   934   415.50  1208.82 1332.20
 10.1% -   167   11   458  1364.29  1649.04 1482.27
 10.1% +   145    3  1159  2209.44  1434.84 1579.62
 10.1% -   152    8   204  2178.45  1506.38 1354.41
 10.1% -   148   12    85  1056.43  1466.31 1318.41
 10.1% -   149    8   562  2479.33  1478.31 1329.70
 10.0% -   193   14   592  1268.36  1930.24 1736.89
 10.0% -   134    4   627   956.98  1337.63 1203.75
 10.0% -   103    5   629   484.34  1029.87  927.22
 10.0% -   168   14    81  1251.97  1682.62 1514.97
  9.9% -   153    8  1185   554.98  1545.67 1392.54
  9.9% -   185   11   920  1338.65  1871.27 1686.26
  9.9% -   162    7  1168   667.94  1639.55 1477.62
  9.9% +    78    3   870   413.23   795.80  874.22
  9.8% -   186    9  1096  1690.22  1894.85 1708.64
  9.8% +   104    9   444   725.31  1062.52 1166.93
  9.8% -   158    6   367  1947.68  1606.76 1449.10
  9.7% -   180    7  1161  1499.97  1862.45 1682.27
  9.7% -   149    3   992  1897.41  1539.00 1390.25
  9.7% -   166    8   862  1817.85  1719.37 1553.22
  9.6% -   177    9   994  1742.62  1849.58 1672.78
  9.5% +    61    5    57   559.05   639.73  700.77
  9.5% +    78    3   981   341.45   813.95  891.60
  9.5% -   186   11  1013  1483.30  1952.80 1767.06
  9.5% +   113   13    36   808.38  1190.16 1302.98
  9.4% -    76    5   332   218.03   801.73  726.21
  9.4% +   105    9   708   461.07  1110.60 1215.11
  9.4% +   168   12   734  2491.82  1792.31 1960.28
  9.3% -   115   10    57   936.89  1237.07 1122.28
  9.3% -   205   13  1140  1607.80  2214.64 2009.15
  9.2% +    89    7   789   185.73   966.26 1055.15
  9.2% -   165    6  1006  1219.71  1803.97 1638.79
  9.1% +    73    3  1096   200.27   802.96  876.21
  9.1% +    87    6   373   587.38   956.61 1043.41
  9.0% -   123   12    59   858.62  1377.35 1253.88
  8.9% +   100    4  1001   739.08  1116.31 1216.11
  8.9% -   104    6   194   914.25  1168.72 1064.57
  8.9% -    60    1   620   490.45   678.74  618.30
  8.9% -   116   10   223   886.32  1305.54 1189.93
  8.9% +   145   13  1199   493.00  1634.13 1778.77
  8.8% +    75    8   123   612.55   851.24  926.49
  8.8% +   126    3  1162  2152.66  1434.71 1561.19
  8.8% +   111   11   859   146.71  1267.98 1379.00
  8.7% -   158   13   694  1054.31  1815.02 1656.70
  8.7% +   153   11   913  2253.41  1758.56 1911.59
  8.7% +    55    4   477    18.97   631.50  686.39
  8.6% -   146    5   942  2092.87  1696.72 1550.73
  8.6% +   150   13   564  2245.56  1745.09 1894.99
  8.5% -   177   14   530  2028.06  2079.14 1902.02
  8.5% +   116   10  1145   311.43  1366.61 1482.46
  8.4% +    97   11   496   373.98  1152.99 1249.90
  8.4% -   146   14    47  1667.14  1745.18 1599.04
  8.2% -   123   13    70   993.70  1492.02 1369.02
  8.2% +    63    3  1007   187.52   764.64  827.39
  8.2% -   160    9  1165  1868.79  1945.95 1786.40
  8.2% -   112    3   606  1184.23  1364.54 1252.99
  8.2% +   141    9  1097  2330.20  1728.07 1869.11
  8.2% -   134   10   160  2272.56  1642.15 1508.14
  8.1% +   106    9  1080   539.51  1306.91 1413.28
  8.1% -   126    8   792  2437.24  1556.70 1430.75
  8.1% -   155   13   837  1218.93  1921.68 1766.49
  8.0% +    78    7   748   241.73   971.31 1049.47
  8.0% -   158   14   267  2090.21  1968.40 1810.70
  8.0% +   142    6  1148  1525.81  1776.48 1918.78
  7.9% -    82    5   679   476.08  1030.41  948.74
  7.9% +   130   10   683  2442.92  1643.68 1773.57
  7.9% +   134   14  1138   518.18  1696.86 1830.78
  7.9% -    67    5   126   696.14   845.35  778.74
  7.9% +    77    8   392   661.27   978.13 1055.12
  7.9% -   123    8   466  2064.63  1558.12 1435.56
  7.9% -    95    6   378   837.63  1215.96 1120.49
  7.8% -   106    7   981   658.85  1351.69 1245.59
  7.8% +    73    6   420   386.77   929.16 1002.03
  7.8% -   145   14   600  1120.05  1847.84 1703.01
  7.8% -    51    2    68   756.61   648.53  597.74
  7.8% +    86    4   725   588.90  1097.95 1183.56
  7.8% -   134    6   806  1760.64  1718.76 1585.07
  7.8% +   147   13   858  2258.01  1889.71 2036.34
  7.7% +     9    1    58     5.86   117.24  126.28
  7.7% -   148    9   938  2224.29  1913.87 1766.31
  7.7% -   138    8  1053  1864.01  1794.57 1656.44
  7.6% +    43    3   504    63.39   568.17  611.30
  7.5% +   133    9  1063  2497.79  1761.94 1894.69
  7.5% -   118   11    24  2029.04  1569.37 1451.18
  7.5% -    24    3    41     4.52   320.12  296.04
  7.5% -   116    3   981  2008.83  1539.47 1423.97
  7.5% -    89    1  1115   926.13  1192.88 1103.46
  7.4% -   121    9   534  1929.94  1624.87 1504.08
  7.4% -   148   13   618  1982.27  2000.39 1852.21
  7.4% +   122   11   532  2419.86  1653.69 1775.76
  7.3% -   132   13   756   954.40  1793.07 1661.48
  7.2% -   135   12   713  1642.01  1873.19 1737.74
  7.2% -   132    8  1124  1908.69  1833.27 1701.69
  7.1% -   118    9   696  1749.97  1649.49 1531.57
  7.1% -    99    9   633   888.17  1384.78 1285.88
  7.1% +    54    4   380   446.66   764.24  818.66
  7.1% -   115    4   842  2464.29  1611.66 1497.02
  7.0% -    12    1   133     8.34   179.06  166.60
  6.9% -   115   12    46  2077.07  1666.29 1550.95
  6.9% +    65    9   483    52.64   949.04 1014.36
  6.8% -   116   10   692  1671.71  1701.23 1585.09
  6.8% -   123   11   927  1306.37  1804.68 1681.55
  6.7% -   114    5   905  2317.31  1691.38 1577.86
  6.7% +    61    7   624   148.16   905.79  966.56
  6.7% -    14    2    13     4.67   203.52  189.88
  6.7% -   104    8   312  2383.17  1557.27 1453.59
  6.6% -   121   10   958  1643.76  1827.18 1705.78
  6.6% +    74    6   761   530.19  1120.10 1194.34
  6.4% -    98   10   174  1991.96  1542.40 1444.29
  6.3% -    95    5   948   898.60  1499.68 1404.62
  6.3% +   119   12  1088  1977.91  1883.21 2001.72
  6.3% -   118   13   534  1765.96  1881.36 1763.09
  6.2% -   112   13   799   951.92  1793.36 1681.50
  6.2% -   114   12   495  1948.13  1831.92 1718.03
  6.2% -   108    5  1004  2367.63  1743.85 1635.45
  6.2% -    45    1   458   834.70   737.28  691.82
  6.2% -   119   12  1007  1353.77  1925.32 1806.80
  6.1% -   113   11   741  1872.39  1847.08 1733.78
  6.1% +   118   14   646  2418.19  1931.21 2049.63
  6.1% -    82    6   855   591.35  1339.72 1257.80
  6.1% +    77    9  1078   161.85  1260.96 1337.90
  6.1% -   104    5  1116  2460.46  1711.97 1607.77
  6.1% +    66    5   831   591.65  1090.31 1156.38
  6.1% +     7    1    59     8.31   120.65  127.96
  6.0% +    46    2   719   591.44   755.30  800.84
  6.0% +    96   11   456  2223.72  1600.10 1696.33
  5.9% -    66    7   709   320.80  1116.62 1050.52
  5.9% -   103   12   781  1159.18  1752.72 1649.68
  5.8% -   102    6   751  2085.98  1757.81 1656.27
  5.7% +   104   14   467  2176.26  1809.83 1913.86
  5.7% +    85   14   457   848.61  1492.64 1577.95
  5.7% -    36    1   362   749.19   636.51  600.25
  5.6% -   118   13  1024  1712.85  2097.69 1979.73
  5.6% -   113   10  1187  1981.09  2013.21 1900.03
  5.5% -   124   14  1122  1766.25  2239.35 2115.12
  5.5% +    44    7   273   285.83   793.58  837.31
  5.5% -    94    6   909  1332.18  1720.21 1625.97
  5.5% -    81   11   684   672.51  1487.93 1406.45
  5.4% -    80    3  1092  1737.65  1462.01 1382.34
  5.4% +    78    3  1109  2092.26  1436.66 1514.61
  5.4% +    99   12   959  1947.82  1833.24 1932.28
  5.4% -   103   12   601  2166.56  1918.46 1815.12
  5.3% -    93   12   482  1710.47  1746.74 1653.42
  5.3% -    90    4  1113  2103.82  1695.08 1605.39
  5.3% -    95    6  1043  1404.35  1807.42 1711.94
  5.3% +    84   12    81  2485.34  1589.65 1673.32
  5.2% -    87    5  1120  1514.91  1658.97 1572.07
  5.1% -    41    3   269   708.05   799.12  758.08
  5.1% +   100   14   904  2005.96  1970.01 2070.41
  5.1% +    53    5   765   480.48  1038.42 1091.34
  5.0% -    84    9   768  1815.60  1666.18 1582.54
  5.0% -    81   10   358  2066.62  1624.11 1542.86
  4.9% -    89   13   112  2299.56  1807.67 1718.29
  4.9% -    89   11   775  1752.23  1809.29 1720.06
  4.9% -    32    1   601   497.70   644.12  612.45
  4.9% +    83   13   247  2339.61  1705.90 1789.05
  4.8% +    84   12   643  2194.16  1758.03 1842.18
  4.8% +    27    5   125    96.38   570.99  598.16
  4.8% +    74   12    18  2461.37  1556.78 1630.78
  4.7% +    83   10   860  2380.76  1759.97 1842.99
  4.7% -    90   14   414  1919.70  1918.89 1828.52
  4.7% -    87   14   516  1464.67  1842.10 1755.57
  4.7% +    55   14    94   105.94  1180.63 1236.00
  4.7% -    87   11   667  2221.67  1872.89 1785.58
  4.6% -    80   10   797  1706.73  1724.42 1644.24
  4.6% -    65   10   498   992.86  1395.03 1330.42
  4.6% +    46    3  1025   592.55   992.40 1038.29
  4.6% -    67    4  1191   999.45  1478.93 1411.46
  4.5% -    23    2   547   119.09   509.52  486.34
  4.5% -    65    9   963   588.50  1434.42 1369.36
  4.5% +    28    2   730   285.24   624.78  653.02
  4.5% -    67    8   342  2259.06  1502.02 1434.56
  4.5% -    88   13   922  1510.22  1967.87 1880.12
  4.4% +    74   12   342  2253.61  1659.50 1733.20
  4.4% -    49   10     5   836.86  1116.56 1067.12
  4.4% +    75   11   636  2238.97  1699.94 1775.02
  4.4% -    31    2   993    54.24   715.19  683.76
  4.4% +    33    2   762   519.74   752.69  785.63
  4.3% +    85    6  1203  1900.48  1972.88 2057.58
  4.2% +    55    5  1028   653.19  1313.95 1369.40
  4.2% -    61    3  1187  1632.14  1451.85 1391.01
  4.2% +    74   11   927  1994.33  1779.12 1853.54
  4.2% +    65    4  1124  2177.18  1567.43 1632.67
  4.2% +    56    7  1054   576.47  1344.18 1400.04
  4.1% -    71   13   125  2004.61  1721.56 1650.40
  4.1% +    13    1   252   285.50   331.74  345.21
  4.0% +    35    1   909   741.82   866.07  901.04
  4.0% -    68    9   885  1764.97  1694.37 1626.04
  4.0% +    39    2  1038   685.07   962.14 1000.78
  4.0% -    59   14    49   954.02  1480.87 1421.93
  4.0% -    60   10   909   696.00  1505.19 1445.32
  3.9% +    74   12  1046  1850.85  1875.72 1949.79
  3.9% +    70   10   976  2166.02  1775.03 1844.98
  3.9% +    71   12   675  2277.93  1807.33 1878.48
  3.9% -    62   11   772   932.31  1575.52 1513.64
  3.9% +    54   13   632   268.91  1396.28 1450.59
  3.9% -    64   10   215  2440.91  1638.66 1574.98
  3.9% -    69   10   753  2054.02  1779.08 1709.95
  3.7% +    66   14   191  2442.76  1798.47 1864.64
  3.6% -    54    4  1202  1074.87  1501.24 1446.91
  3.6% -    67   11   685  2272.75  1873.94 1806.99
  3.6% -    63    9  1000  1901.79  1778.65 1715.45
  3.5% +    70   13  1055  2005.84  1997.52 2067.86
  3.5% +    28    3  1027   180.00   804.96  832.96
  3.5% -    12    3   117    21.99   359.10  346.64
  3.4% +    53   10   459  2183.11  1559.59 1612.38
  3.3% -    27    5   198   594.83   807.48  780.64
  3.3% -    41    7   951   584.40  1253.76 1212.58
  3.3% -    45    5   908   716.70  1375.88 1330.85
  3.3% +    57   12   398  2481.44  1755.18 1812.56
  3.2% -    18    3   399   141.39   546.04  528.30
  3.2% +    17    1   815    97.89   539.36  556.75
  3.2% -    52    6   470  2235.72  1628.60 1576.72
  3.2% -    61   12   852  1957.90  1944.89 1883.44
  3.1% -    39    6   577   897.74  1257.31 1218.12
  3.1% +    36   10   273   799.90  1155.05 1190.82
  3.1% -    54   12   353  2150.17  1765.67 1711.74
  3.0% -    38    6   697   651.64  1237.71 1200.05
  3.0% -    53   11   610  1990.79  1753.56 1700.50
  3.0% -    47   11  1179    31.36  1550.55 1503.76
  3.0% -    53    8   867  2373.39  1747.22 1694.51
  3.0% +    26    5   592   433.75   869.00  894.92
  3.0% +    22    2   301   769.23   731.28  753.02
  3.0% +    47    9   662  2275.59  1599.27 1646.66
  2.9% -    39   13    19   807.27  1331.53 1292.84
  2.9% +    36   10   625   519.94  1229.41 1264.99
  2.8% +    16    1   893    19.76   570.71  586.83
  2.8% +    48   11   663  2141.08  1715.29 1763.51
  2.8% +    31    5   781   672.91  1125.36 1156.75
  2.8% +    30    9   602   186.69  1085.40 1115.63
  2.8% +    37    4   842   893.25  1324.64 1361.46
  2.8% -     4    1    47    17.97   128.91  125.35
  2.8% +    46   14   805   834.06  1683.49 1729.92
  2.7% -    43   11   226  2013.45  1590.82 1548.06
  2.7% -    18    2   521   467.19   667.85  650.00
  2.7% +    20    5   367   290.78   742.25  762.03
  2.6% -    38   12   307   957.17  1432.75 1395.09
  2.6% +    33    9   748   653.42  1249.66 1282.40
  2.6% -    44   11   512  2016.19  1710.53 1666.85
  2.5% -    53   14  1001  1647.24  2080.00 2027.29
  2.5% -    45   10   965  1851.28  1805.77 1761.02
  2.4% -    47   12   882  1958.14  1944.88 1897.90
  2.4% -    41   11   605  1880.69  1711.55 1670.57
  2.4% +    13    3   307   266.21   540.97  553.90
  2.4% +     4    1    85    89.83   175.53  179.72
  2.4% -    37   13   658   559.48  1573.12 1535.71
  2.4% -    42   12   508  1970.54  1770.91 1728.84
  2.4% +    21    8   266   252.08   880.41  901.11
  2.4% -    41    9   800  2167.72  1726.51 1685.93
  2.3% +    41    9  1139  1973.31  1759.33 1800.05
  2.3% -    47   11  1106  2250.54  2050.62 2003.52
  2.2% -    26    5   794   511.00  1139.94 1114.42
  2.2% -    30   12   218   901.03  1371.86 1341.36
  2.2% -    24    7   753   358.13  1084.79 1060.97
  2.2% +    35   10   454  2359.42  1619.00 1654.46
  2.2% -    32    9  1102   540.60  1455.85 1424.11
  2.2% -    37    6   836  2035.17  1718.79 1681.83
  2.1% -    18    7   316   141.89   837.80  819.87
  2.1% -    20    5   477   655.24   935.38  915.37
  2.1% +    36    8  1012  2390.84  1732.12 1768.47
  2.1% +    36   11   623  2265.21  1739.18 1775.34
  2.1% +    37   12   574  2240.90  1785.72 1822.82
  2.1% -    16    5   446   219.98   788.62  772.39
  2.0% -    27   11   327   961.08  1356.46 1329.07
  2.0% -     3    1    55     3.60   126.06  123.52
  2.0% +    33    5  1160  1901.83  1673.89 1707.35
  2.0% +    33    5  1085  2486.43  1664.83 1698.09
  2.0% -    31    4   810  1852.31  1575.87 1544.49
  2.0% -    36    9  1064  2016.76  1810.94 1774.91
  2.0% +    37   10  1083  2105.36  1844.58 1881.18
  2.0% -    30    3   864  2338.52  1513.04 1483.20
  2.0% +    19    8   372   348.37   950.24  968.89
  1.9% -    33    8   888  2296.07  1718.71 1685.26
  1.9% -    31    9   524  2367.12  1640.78 1609.38
  1.9% +    31   10   536  2194.42  1615.13 1646.00
  1.9% +    33    8  1159  2175.27  1752.18 1785.14
  1.9% -    38   14   958  1727.76  2065.16 2026.78
  1.9% +     4    2    89    13.85   234.20  238.54
  1.8% -    21    8   626   545.84  1142.89 1121.94
  1.8% +    29   10   478  2091.79  1568.41 1597.15
  1.8% -    26    8   275  2347.09  1454.47 1428.52
  1.8% +    32   13  1152   864.45  1797.14 1829.07
  1.8% -    29   12    59  2247.39  1629.92 1601.07
  1.7% +    34   11  1156  2231.86  1988.56 2022.85
  1.7% +    33   13   996  1809.20  1956.89 1990.38
  1.7% +    18    9   191   789.52  1058.50 1076.33
  1.7% -    33   14   595  2140.61  1989.13 1956.15
  1.6% +    26    4  1180  1948.55  1565.16 1590.96
  1.6% -    27    9   460  2424.47  1624.68 1598.12
  1.6% -    32   13   855  1798.75  1951.77 1920.09
  1.6% -    31   11   958  1999.13  1900.18 1869.62
  1.6% -    29   10  1009  2164.22  1889.87 1860.38
  1.6% +    19    4   730   799.25  1250.66 1270.10
  1.6% -    15    5   730   485.73   991.49  976.12
  1.5% -    16    6   222   709.07  1031.34 1015.66
  1.5% -    27    5  1014  1853.57  1749.31 1722.79
  1.5% +    14    6   370   315.09   946.39  960.53
  1.4% -    24   12   379  1897.29  1682.98 1658.92
  1.4% +    10    5   324   128.94   686.54  696.28
  1.4% +    24   10   643  2263.77  1685.92 1709.58
  1.4% +    25   10   872  2191.27  1776.62 1801.38
  1.3% +    25   11   815  2385.60  1872.44 1897.60
  1.3% -    23   11   667  1915.95  1732.20 1709.15
  1.3% +    15    9   800    39.96  1158.68 1173.99
  1.3% +    13    5   741   429.24   951.92  964.45
  1.3% +    19    5  1050   882.86  1430.04 1448.86
  1.3% +    19    6   957   727.75  1448.72 1467.69
  1.3% -    21    5  1077  2234.35  1665.23 1643.83
  1.3% -    17    5  1126   664.90  1336.74 1319.95
  1.3% -    14    6   425   709.75  1114.90 1100.92
  1.2% -    25   11  1116  2067.80  1987.44 1962.63
  1.2% +     8    2   623   347.54   625.15  632.90
  1.2% +    15   12   211   749.56  1285.23 1300.34
  1.2% -    23   13   710  2223.86  1979.83 1956.76
  1.2% -     2    2    21    20.04   204.58  202.20
  1.1% -    14    5   865   644.79  1202.46 1188.64
  1.1% +    20    6   930  1907.95  1788.75 1808.78
  1.1% +    21   13  1004  1757.75  1960.67 1981.36
  1.0% -     6    1   547   573.60   616.27  609.92
  1.0% +    18   11   844  1962.77  1787.57 1805.81
  1.0% -    17    6   907  1650.17  1737.86 1720.41
  0.9% -    16   12   931   864.21  1663.58 1647.93
  0.9% -    17   14   777  1248.61  1837.25 1820.11
  0.9% +    15   11   312  2072.39  1586.22 1600.90
  0.9% +     9    5   728   423.16   947.72  956.39
  0.9% +    15    4   862  2335.55  1698.94 1714.43
  0.8% -    16   14   343  2013.40  1839.05 1823.55
  0.8% -    14   11   372  2048.26  1632.61 1618.86
  0.8% -    15   14   865  1422.11  1921.18 1905.73
  0.8% +     8    8   488   439.70  1030.13 1038.12
  0.8% +     7    3   859   611.07   960.47  967.91
  0.8% +    13   12   158  2195.67  1625.46 1638.02
  0.8% -    12    8   621  2391.34  1593.12 1580.92
  0.8% -    14   14   595  1818.77  1889.90 1875.69
  0.7% -     4    1   797   126.80   543.18  539.62
  0.6% +    10   11    67  2455.53  1572.91 1582.74
  0.6% +    10    5  1080  2383.82  1664.76 1675.16
  0.6% -     4    4   305   125.79   664.43  660.32
  0.6% +    11   12   566  2013.70  1752.03 1762.82
  0.6% +     8    9   592   793.55  1235.69 1243.19
  0.6% -     5    3   621   214.08   779.66  775.12
  0.6% +    10    9  1079  1981.94  1763.16 1773.41
  0.5% -    11   14   976  1526.58  1995.87 1985.12
  0.4% +     8   10   886  1990.03  1749.93 1757.79
  0.4% -     7   13   145  2202.42  1716.13 1708.86
  0.4% +     7    4  1000  2355.34  1699.56 1706.60
  0.4% +     6   14   487   579.29  1516.68 1522.62
  0.4% -     8   14   719  1973.14  1980.99 1973.40
  0.3% -     6   14  1015   871.76  1846.41 1840.14
  0.3% -     6   12   965  1700.28  1879.09 1873.27
  0.3% -     4    8   936   556.28  1277.26 1273.35
  0.2% -     3    8  1173   671.25  1419.34 1415.85
  0.2% -     3    1  1122   861.50  1081.05 1078.44
  0.2% -     2    8   264   720.67  1019.85 1017.39
  0.2% -     2    4   166   791.52   866.18  864.31
  0.2% +     1    1   288   159.26   303.94  304.59
  0.2% -     3    4  1194  2250.51  1691.15 1688.27
  0.1% -     2    3  1158  1107.40  1361.30 1359.54
  0.1% +     2   10   396  2068.65  1556.68 1558.56
  0.1% +     1    3   555  2342.76  1458.63 1459.97
  0.1% -     1    5   751   407.43  1063.46 1062.71
  0.0% +     0    6   290   814.04  1077.35 1077.71
  0.0% -     1   12   714  2003.23  1829.06 1828.53
